Kinshasa,Democratic Republic of the Congo,"BRAZZAVILLE, CF",GHCND:CF000004450,"{'jan': 6.85, 'feb': 5.9, 'mar': 5.95, 'apr': 7.9, 'may': 6.1, 'jun': 0.5, 'jul': 0.2, 'aug': 0.5, 'sep': 2.1, 'oct': 6.7, 'nov': 12.1, 'dec': 10.75}","{'jan': 131.07999999999996, 'feb': 120.26999999999995, 'mar': 120.41999999999999, 'apr': 144.08999999999997, 'may': 112.18499999999995, 'jun': 4.985, 'jul': 0.315, 'aug': 5.149999999999999, 'sep': 21.505000000000006, 'oct': 122.18499999999997, 'nov': 239.76499999999996, 'dec': 198.50000000000006}"
Lubumbashi,Democratic Republic of the Congo,"LUBUMBASHI INTERNATIONAL, CG",GHCND:CGM00064360,"{'jan': 0.35, 'feb': 0.75, 'mar': 0.35, 'apr': 0.2, 'may': 0.0, 'jun': 0.0, 'jul': 0.0, 'aug': 0.0, 'sep': 0.05, 'oct': 0.0, 'nov': 0.65, 'dec': 0.85}","{'jan': 6.29, 'feb': 9.9, 'mar': 3.1550000000000002, 'apr': 8.8, 'may': 0.0, 'jun': 0.0, 'jul': 0.0, 'aug': 0.0, 'sep': 0.255, 'oct': 0.0, 'nov': 12.944999999999999, 'dec': 17.154999999999998}"
Djibouti,Djibouti,ASSAB,GHCND:ER000063043,"{'jan': 0.7, 'feb': 0.5, 'mar': 0.25, 'apr': 0.1, 'may': 0.15, 'jun': 0.15, 'jul': 0.4, 'aug': 0.25, 'sep': 0.1, 'oct': 0.1, 'nov': 0.2, 'dec': 0.25}","{'jan': 4.415000000000001, 'feb': 5.0699999999999985, 'mar': 2.1550000000000002, 'apr': 2.4350000000000005, 'may': 2.37, 'jun': 0.34500000000000003, 'jul': 4.91, 'aug': 11.055, 'sep': 0.9399999999999998, 'oct': 0.6799999999999999, 'nov': 6.0200000000000005, 'dec': 4.4399999999999995}"
Cairo,Egypt,"HELWAN, EG",GHCND:EGM00062378,"{'jan': 2.25, 'feb': 0.75, 'mar': 0.0, 'apr': 0.5, 'may': 0.0, 'jun': 0.0, 'jul': 0.0, 'aug': 0.0, 'sep': 0.0, 'oct': 0.0, 'nov': 0.25, 'dec': 1.0}","{'jan': 3.95, 'feb': 2.3000000000000003, 'mar': 0.125, 'apr': 1.5999999999999999, 'may': 0.0, 'jun': 0.0, 'jul': 0.0, 'aug': 0.0, 'sep': 0.0, 'oct': 0.0, 'nov': 0.825, 'dec': 2.9}"
Alexandria,Egypt,"ALEXANDRIA INTERNATIONAL, EG",GHCND:EGM00062318,"{'jan': 7.3, 'feb': 3.8, 'mar': 2.25, 'apr': 0.55, 'may': 0.15, 'jun': 0.0, 'jul': 0.0, 'aug': 0.0, 'sep': 0.05, 'oct': 1.05, 'nov': 3.05, 'dec': 3.9}","{'jan': 65.06499999999997, 'feb': 22.19500000000001, 'mar': 13.870000000000001, 'apr': 3.944999999999999, 'may': 0.355, 'jun': 0.0, 'jul': 0.0, 'aug': 0.0, 'sep': 0.05, 'oct': 5.294999999999999, 'nov': 26.74, 'dec': 45.24000000000001}"
Bata,Equatorial Guinea,"BATA RIO MUNI, EK",GHCND:EKM00064820,"{'jan': 0.6666666666666666, 'feb': 0.6666666666666666, 'mar': 2.2666666666666666, 'apr': 2.4, 'may': 2.1333333333333333, 'jun': 0.7333333333333333, 'jul': 0.13333333333333333, 'aug': 1.1333333333333333, 'sep': 2.7333333333333334, 'oct': 2.8666666666666667, 'nov': 3.2, 'dec': 0.8}","{'jan': 11.826666666666666, 'feb': 19.45333333333333, 'mar': 54.026666666666664, 'apr': 48.97333333333333, 'may': 39.873333333333335, 'jun': 6.946666666666666, 'jul': 2.2733333333333334, 'aug': 15.033333333333333, 'sep': 56.37333333333333, 'oct': 76.4, 'nov': 72.48666666666665, 'dec': 14.660000000000002}"
Malabo,Equatorial Guinea,"MALABO, EK",GHCND:EKM00064810,"{'jan': 0.3, 'feb': 0.35, 'mar': 1.7, 'apr': 2.25, 'may': 4.15, 'jun': 3.95, 'jul': 3.2, 'aug': 3.7, 'sep': 4.95, 'oct': 3.5, 'nov': 2.4, 'dec': 0.35}","{'jan': 1.085, 'feb': 3.045, 'mar': 23.609999999999996, 'apr': 40.545, 'may': 63.029999999999994, 'jun': 66.83, 'jul': 57.339999999999975, 'aug': 58.084999999999994, 'sep': 88.43499999999997, 'oct': 41.855, 'nov': 33.28, 'dec': 3.95}"
Asmara,Eritrea,"ASMARA, ER",GHCND:ER000063021,"{'jan': 0.0, 'feb': 0.0, 'mar': 0.0, 'apr': 0.0, 'may': 0.1, 'jun': 0.0, 'jul': 0.2, 'aug': 0.1, 'sep': 0.05, 'oct': 0.05, 'nov': 0.05, 'dec': 0.0}","{'jan': 0.0, 'feb': 0.0, 'mar': 0.0, 'apr': 0.0, 'may': 0.15, 'jun': 0.0, 'jul': 2.2350000000000003, 'aug': 1.3050000000000002, 'sep': 0.545, 'oct': 0.05, 'nov': 0.1, 'dec': 0.0}"
Assab,Eritrea,ASSAB,GHCND:ER000063043,"{'jan': 0.7, 'feb': 0.5, 'mar': 0.25, 'apr': 0.1, 'may': 0.15, 'jun': 0.15, 'jul': 0.4, 'aug': 0.25, 'sep': 0.1, 'oct': 0.1, 'nov': 0.2, 'dec': 0.25}","{'jan': 4.415000000000001, 'feb': 5.0699999999999985, 'mar': 2.1550000000000002, 'apr': 2.4350000000000005, 'may': 2.37, 'jun': 0.34500000000000003, 'jul': 4.91, 'aug': 11.055, 'sep': 0.9399999999999998, 'oct': 0.6799999999999999, 'nov': 6.0200000000000005, 'dec': 4.4399999999999995}"
Mek'ele,Ethiopia,"MAKALE, ET",GHCND:ET000063330,"{'jan': 0.8, 'feb': 0.95, 'mar': 2.9, 'apr': 3.3, 'may': 3.5, 'jun': 5.3, 'jul': 15.9, 'aug': 15.7, 'sep': 4.35, 'oct': 0.3, 'nov': 0.45, 'dec': 0.1}","{'jan': 2.8000000000000007, 'feb': 7.984999999999998, 'mar': 23.599999999999998, 'apr': 34.37499999999998, 'may': 37.205, 'jun': 29.534999999999997, 'jul': 165.9549999999999, 'aug': 191.2049999999999, 'sep': 33.480000000000004, 'oct': 2.1949999999999994, 'nov': 2.9800000000000004, 'dec': 0.30500000000000005}"
